id,label,context
20000757,aerospace engineering,"The study, design, development and construction of aircraft, spacecraft and missile systems"
20000758,rocketry,"The study, design, development and construction of rockets"
20000759,agricultural technology,The study and development of techniques and machinery to improve agricultural management and productivity
20000760,civil engineering,"The study, design, development and construction of structures such as buildings, bridges, tunnels, irrigation and sewage systems, streets or railroads"
20000761,electronic engineering,"The study, design, development and application of systems built on the exchange of electrical charges, such as consumer devices, communications systems or industrial computers"
20000762,identification technology,"The study, development, application and ethical considerations of technological methods for identifying products, animals or people; including radio frequency, biometrics or face recognition"
20000763,information technology and computer science,"The study and design of computer systems, software and networks"
20000764,materials science,"The study of the composition, structure and properties of materials for their use in industry and manufacturing"
20000765,micro science,"The study of and technologies built at a microscopic scale, such as microbiology or microcomputing"
20000766,nanotechnology,Manipulating objects at the molecular scale
20000768,communities,A group of individuals actively sharing a common value or interest
20000769,social networking,"Social interactions, either in person or online, intended to share information and build relationships around common interests"
20000770,demographics,"The study of human populations and their characteristics, for example statistics or trends around aging populations in a particular geographic region"
20000771,immigration,The movement of individuals or groups of people from one country to another
20000772,emigration,Leaving one's country of residence to settle permanently elsewhere
20000773,illegal immigration,The movement of individuals or groups of people from one country to another without legal authorization from the destination country
20000774,population and census,"The official count of people living in a given geopolitical area, usually carried out by a governmental body"
20000775,discrimination,"Unfair treatment of, or policies or practices against, individuals or groups of people on the basis of real or perceived membership in a group, such as race, sexual orientation, political or religious beliefs, age or height"
20000776,ageism,Discrimination against individuals or groups of people on the basis of age
20000777,racism,Discrimination against individuals or groups of people on the basis of race
20000778,religious discrimination,Unfair treatment of individuals or groups of people on the basis of their religious belief
20000779,sexism,"Discrimination against individuals or groups of people, usually women, on the basis of gender"
20000780,family,"A group of people related genetically or by a legal bond, or who consider themselves part of a familial unit regardless of genetic or legal status"
20000781,adoption,"The legal process of transferring parental rights to someone other than a person's birth parents, that person usually being a child"
20000782,Dating and Relationships,"The development of an intimate connection between individuals, through various forms of activities enjoyed together, often leading to a legal or permanent union such as marriage"
20000783,divorce,The process by which a marriage is legally dissolved
20000784,family planning,"Services and education aimed at informing individual decisions about reproduction, such as fertility, in vitro fertilisation, contraception or abortion"
20000785,abortion,The intentional termination of a pregnancy for elective or medical reasons
20000786,marriage,"The legal or socially recognized union of individuals, which establishes rights and obligations between them"
20000787,parenting,"The caring for and support of a child's physical, emotional, developmental and social needs from birth to adulthood"
20000788,mankind,"Human beings taken as a whole, or described as members of particular groups such as teenagers, women, or people with disabilities"
20000789,adults,People above an age set by law that entitles them to full liability and certain privileges such as the legal right to drink alcoholic beverages and to vote
20000790,children,"Young people, usually pre-pubescent, who are legally considered minors and are in a guardianship relationship with adults"
20000791,disabilities,"Physical or mental conditions that limit a person's movements, senses, or activities"
20000792,LGBTQ,"People who identify as lesbian, gay, bisexual, transgender or queer"
20000793,gender,"The classification of individuals as male, female, or a non-binary designation"
20000794,infants,"Very young people, usually defined as being just born up to the age of two"
20000795,national or ethnic minority,"Groups of people that form a minority on an ethnic or national basis, and their status or issues relating to the majority"
20000796,nuclear radiation victims,Includes antinuclear movements and compensation for atomic blast victims.
20000797,senior citizens,People having passed the age of retirement
20000798,teenagers,Young people between the ages that describe childhood and adulthood
20000799,social condition,"The circumstances or state of affairs affecting a person's life, welfare and relations with others in a society"
20000800,homelessness,"The social condition defined by lack of permanent residence, living in shelters or on streets, and the issues and problems associated with it"
20000801,poverty,"The lack of sufficient resources and means to provide basic needs such as food, clothing or shelter for oneself and one's family"
20000802,social problem,"Issues related to human rights, human welfare and other areas of societal concern"
20000803,abusive behavior,"Actions that intentionally harm another person or people, often on an ongoing basis, such as psychological or mental abuse, negligence, physical or sexual abuse and torture"
20000804,addiction,"The habitual and compulsive use of substances such as alcohol or drugs, or behavior such as gambling, gaming or sex, often causing detrimental effects on the body, brain, and relationships with others"
20000805,juvenile delinquency,"Unlawful conduct perpetrated by minors, often on a repeated basis"
20000806,prostitution,The business of engaging in sexual activity in exchange for payment
20000807,slavery,"The ownership of people as property, and the involuntary servitude of those people to their owners, which includes unpaid labor and coerced actions"
20000808,values,"A person's or group's principles or standards of behavior, which guide their way of living and choices made"
20000809,corrupt practices,Any action which is harmful to others
20000810,death and dying,"Social, medical and mental health issues relating to people at the end of their lives"
20000811,euthanasia,The practice of humanely ending the life of a person suffering from a terminal illness
20000812,assisted suicide,"The practice of assisting a person suffering from a terminal illness in the process of suicide, often with a physician's oversight"
20000813,suicide,The intentional taking of one's own life
20000814,ethics,The moral values and standards that define right and wrong actions or decisions
20000815,pornography,"The depiction of sexually explicit acts in various media renditions, such as video or photos, often considered obscene or immoral"
20000816,sexual behavior,The manner in which people express their sexuality in physical acts
20000817,welfare,"Help for those in need of food, housing, health and other services"
20000818,charity,"The voluntary giving of money, food or other necessities to those in need"
20000819,long-term care,Services provided on an extended and ongoing basis to patients suffering from chronic illness or disability
20000820,social services,"Social programs, usually publicly sponsored, aimed at promoting people's welfare, such as housing, health care or education services"
20000822,competition discipline,Different types of sport which can be executed in competitions
20000823,American football,Team ball game that opposes two teams of 11 that have offense and defense sections. Each offense attempts to move an oval ball down the 120 yards long field. Points are scored by advancing the ball into the opposing team*s end zone.
20000824,archery,Archers use bows and arrows to aim at targets 1.22 meters in diameter which are on average 70 meters distant.
20000825,crossbow shooting,Shooting with crossbow on targets from different distances
20000826,longbow,Shooting with longbow on targets from different distances. The competition is held outdoors on an open (flat) field.
20000827,track and field,"Competitions involving foot races, jumping and throwing which can be on a track inside a stadium or on outside roads"
20000828,cross-country run,Competitors run over rough ground and not on a track
20000829,decathlon,"Individual men's competition which involves accumulating points in 10 different disciplines over two days: 1st day - 100m, long-jump, shot-putt, high-jump, 400m. 2nd day - 110m hurdles, discus, pole-vault, javelin and 1,500 meters."
20000830,discus throw,Competitors stand in a netted circle with a 2.50 meters diameter and with a turning motion attempt to throw a discus weighing 2kg for men and 1kg for women as far as possible
20000831,hammer throw,"Competitors throw a hammer consisting of a metal ball, chain and handle as far as they can from a netted circle which is 2.13 meters in diameter. The hammer weighs 7.26kg for men and 4kg for women"
20000832,heptathlon,"Competition involving seven separate disciplines over two days. 1st day - 100m hurdles, high jump, shot put, 200 meters. 2nd day - long-jump, javelin, 800 meters"
20000833,high jump,Competitors build up speed over a short sprint and then jump as high as possible over a horizontal bar
20000834,hurdles,A sprint running race where athletes jump over a series of upright frames
20000835,javelin throw,Competitors in a specially-designated throwing area attempt to fling a spear-like javelin as far as possible. The javelin weighs 800 grams for men and 600 grams for women.
20000836,long distance run,A running race at distances for more than 1500 meters
20000837,long jump,Competitors build up speed over a short sprint and then jump in one leap as far as possible
20000838,middle distance run,A running race at distances for more than 400 meters and up to and including 1500 meters
20000839,pentathlon,"Only indoor, 60m hurdles, high jump, shot put, long jump, 800 m"
20000840,pole vault,Competitors use a flexible pole to propel themselves feet-first into the air and clear a bar which is raised higher at each round of jumps.
20000841,race walking,A race requiring the competitor to have always one foot on the ground
20000842,relay run,A team of athletes run a relay over identical distances
20000843,shot put,Competitors stand in a circle with a 2.13 meters diameter and attempt to throw a metal ball weighing 7.26 kg for men and 4kg for women as far as possible. The longest throw wins.
20000844,sprint run,A running race at distances of up to and including 400 meters
20000845,triple jump,"Competitors build up speed over a short sprint and then attempt to jump as far forward as they can using a hop, skip and a jump technique."
20000846,Australian rules football,A form of football played by two teams of 18 competing on a pitch by running with and passing an oval ball. Points are scored by moving the ball between goal posts. Governed by the Australian Football League.
20000847,badminton,Two players or two teams of two compete by hitting a shuttlecock weighing approximately five grams over a high net. The aim for each player/team is to prevent the shuttlecock landing on their side of the court.
20000848,bandy,"Played outdoors on ice. The size of the ice rink is about the size of a soccer field. Skates like ice hockey. A small hard ball is used for playing. Players play with sticks, much like in ice hockey, but the sticks are shorter and more rounded than in ice"
20000849,baseball,A game between two teams of nine played on an enclosed ground. The team which scores the most points wins. A point is scored when a player runs around the ground marked out by four bases. To do this he has to hit the ball thrown at him by a rival player.
20000850,rubberball baseball,"Sometimes called ''soft baseball,'' the game is played with a rubber baseball of varying degrees of hardness depending upon the age and level of the players."
20000851,basketball,Game played between two teams of five - points are scored by placing the large inflated ball into a net fixed on a ring 3.05m above the ground.
20000852,biathlon,A combination of cross-country skiing and target shooting on a 12.5 K course in a pursuit format.
20000853,billiards,A cue sport with balls on a table without a specific order to play them
20000854,bobsleigh,"One, two or four people racing down a course in a sled that consists of a main hull, a frame, two axles and sets of runners. The total time of all heats in a competition is added together to determine the winner."
20000855,boules,"Collective name of a number of games where the common goal is to move the competitor's balls as close to a small target ball as possible, played on a grass or sand surface. Balls are thrown (as in petanque and boules) or rolled (as in lawn bowls or bocce)."
20000856,boxing,Combat sport in which two men/women fight using only their fists covered by padded gloves in a square ring measuring 6m a side. The fight is usually split into 12 rounds of three minutes each.
20000857,bantamweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000858,cruiserweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000859,featherweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000860,flyweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000861,heavyweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000862,light flyweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000863,light-heavyweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000864,light-middleweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000865,light-welterweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000866,lightweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000867,middleweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000868,straw weight (boxing),Weight category which varies according to the federation or the Olympic Games
20000869,super-bantamweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000870,super-featherweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000871,super-flyweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000872,super-heavyweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000873,super-middleweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000874,welterweight (boxing),Weight category which varies according to the federation or the Olympic Games
20000875,bullfighting,Classical contest pitting man against the bull
20000876,Canadian football,Team ball game that opposes two teams of 12 that have offense and defense sections. Each offense attempts to move an oval ball down the 150 yards long field. Points are scored by advancing the ball into the opposing team*s end zone.
20000877,canoeing,Competition involving canoes which are generally kneeled and paddled with a single-bladed paddle
20000878,C1 (canoeing),One-seater canoe (open boat with competitor using a single bladed paddle
20000879,C2 (canoeing),Two-seater canoe (open boat) - competitors use a single bladed paddle
20000880,C4 (canoeing),Four-seater canoe (open boat) with each competitor using a single bladed paddle
20000881,canoe sailing,A race involving a canoe equipped with a sail.
20000882,pontoniering,"Team sport, military tradition, similar to canoe regatta, in boats"
20000883,casting (fishing),Using fishing equipment to hit a target and score points
20000884,mountain climbing,Moving up mountains using hands and feet
20000885,ice climbing,Climbing of ice features such as icefalls and frozen cliffs
20000886,mountaineering,Competitive alpine climbing
20000887,sport climbing,"Sport climbing as a special category: individual competition, on an artificial wall with time measurement"
20000888,cricket,"Ball sport involving two teams of 11 players, balls, bats and wickets. The aim is to score as many runs as possible, and to get the opposing team 'out'. A 'run' involves a player running between two wickets. The opposing team try to get their rivals 'out'"
20000889,croquet,Using mallets to hit a ball through hoops
20000890,curling,"A game played on ice with large flat round stones. A player throws the stone, aiming at a target. Teammates of the player who has thrown the stone can sweep the ice in front of the stone to help smooth its path towards the target."
20000891,icestock sport,"Similar to curling, played on targets on ice, different stones with straight handle and different rules, played in alpine countries"
20000892,cycling,A race over a given distance on bicycles.
20000893,artistic cycling,Individual or teams on one or two bicycles in an arena. Points are awarded by a jury.
20000894,bi-crossing,A race where competitors have to cover a circuit with obstacles as quickly as possible.
20000895,bmx racing,Bicycle racing in with inline start and various obstacles over off-road circuits.
20000896,cycle ball,Competitive team sport using bicycles. One team against another with two persons per team. The aim is for competitors to move the ball using the front and rear wheels without letting their feet touch the ground.
20000897,cycle sprint race,"Track cycling race between two cyclists over two or three laps, with a timed sprint finish over the last 200m"
20000898,cyclo-cross,"Staged on various surfaces - earth, grass, sand or tarmac."
20000899,individual pursuit (cycling),Track cycling event where two cyclists set off from midway down opposite straights and try to make up the gap between them
20000900,individual time trial (cycling),A race or stage against the clock with each cyclist setting off individually
20000901,Keirin,Sprint between six cyclists where a pacemaker on a moped gradually increases the pace over the first 1400m. When the pacemaker leaves the track the race develops into a sprint finish over the final 6-700m.
20000902,Madison race,A points race by teams comprising two cyclists in relay-format
20000903,mountain biking,"All-terrain, off-road bicycle riding requiring endurance and specially adapted mountain bikes"
20000904,points race (cycling),Cyclists aim to complete the highest number of laps. Bonus points are picked up in intermediate sprints held every 2500m
20000905,road cycling,Road race with all competitors starting en masse.
20000906,cycling staging race,Race disputed by teams with the classifications determined by the combined times over a day
20000907,team cycle sprint,"A track race where two teams race against each other, starting on opposite sides of the track, following the first lap the first rider pulls away, leaving the second rider to lead the next lap, who then does the same at the last lap, leaving the third rider to finish the race. The team with the fastest time is the winner."
20000908,road cycling team pursuit,Track cycle event where two teams set off from midway down opposite straights and try to make up the gap between them
20000909,team time trial (cycling),Teams of cyclists race against the clock
20000910,track race (cycling),A race staged on a track in a velodrome
20000911,competitive dancing,Dancing competition where competitors are judged on technique and interpretation.
20000912,darts,"The sport in which small darts are thrown at a dartboard, a circular target divided into numbered sections."
20000913,diving,Competitors dive off a fixed or spring board and are assessed by seven judges giving marks up to ten for their acrobatic moves.
20000914,platform diving,Divers take off from a high platform
20000915,springboard diving,Divers dive from a high springboard.
20000916,synchronized diving,Two competitors from the same team dive off at the same time from separate platforms or springboards. As well as being judged on the standard criteria they are also awarded marks for synchronization.
20000917,scuba diving,Underwater diving with the use of a self-contained underwater breathing apparatus
20000918,underwater sports,Competitive sports played under water
20000919,dog racing,Dogs racing around a track
20000920,oval track dog racing,Pursuing an artificial rabbit around an oval track
20000921,dog sled racing,Race with dogs harnessed to a sled
20000922,duathlon,An athletic event involving running and cycling
20000923,equestrian,"Horse-based sport disciplines governed by the International Federation for Equestrian Sports, such as dressage, eventing, show jumping and vaulting"
20000924,cross-country horse riding,Equestrian event held on a designated circuit in the countryside featuring artificial and natural obstacles.
20000925,dressage,"A rider is judged on a series of moves at three different paces - walk, trot and gallop."
20000926,horse jumping,A rider and horse attempt to jump a series of obstacles in an enclosed arena against the clock.
20000927,three day eventing,"Equestrian event involving three disciplines - Dressage, cross-country and show jumping"
20000928,horse driving,"Equestrian events involving horses being driven in harness, single vehicle around a course."
20000929,fencing,Combat sport using a sword or foil.
20000930,epee,Category of fencing using a weapon with a triangular cross-section blade and a large bell guard
20000931,foil,Category of fencing using a weapon with a rectangular cross-section blade and a small bell guard
20000932,sabre,A fencing weapon with a flat blade and knuckle guard used with cutting or thrusting moves
20000933,field hockey,A ball sport involving two teams of 11 players using curved sticks. The aim is to score as many goals as possible.
20000934,figure skating,To obtain the best marks possible from nine judges who award scores after two prepared sections - both skated to music - during which competitors must attempt to achieve the greatest possible harmony between artistic flair and technical precision.
20000935,ice dance,"Takes place over three days with, in order, two compulsory dances, the original dance (2min 30sec) and the free dance (4min)."
20000936,fist ball,Men's team sport similar to volleyball (with a much lower net) executed mainly in gymnastics clubs
20000937,floorball,"Played indoors in a court the size of a basketball court. 6 players per team, of which one is a goalkeeper. He/she operates kneeling but there is no goal-stick like in ice hockey. The players use plastic clubs and a light plastic ball to pass and shot goal"
20000938,flying disc,A group of events all played with a flying plastic disc. The exact regulation for the disc is different in different events but it has to be unbroken of solid plastic and a production model with no modification. Flying disc is sometimes called Frisbee.
20000939,Gaelic football,"A form of football played by two teams of 15 competing on a pitch by running with, kicking and passing a spherical ball. Points are scored by moving the ball between goal posts. Governed by the Gaelic Athletic Association."
20000940,golf,"A game to hit a small hard ball with different clubs around a course of typically 18 holes varying in distance and during a round. The object, depending on the scoring formulae, is to make the fewest strokes possible"
20000941,mini golf,A game where small hard balls must be holed on an artificial course in as few strokes from the club as possible
20000942,gymnastics,A sport consisting of a variety of disciplines in which gymnasts perform artistic and acrobatic moves using different apparatus.
20000943,ball (rhythmic gymnastics),An exercise based on suppleness of the body using a ball.
20000944,beam (artistic gymnastics),Gymnasts perform leaps and flips from the much feared balance beam just 10 cm wide.
20000945,clubs (rhythmic gymnastics),Dance and gymnastic moves while juggling clubs.
20000946,floor exercise (artistic gymnastics),A gymnastics floor exercise on a 12m/sq matt.
20000947,hoop (rhythmic gymnastics),A hoop is rolled and thrown while performing a dance routine.
20000948,horizontal bar (artistic gymnastics),"Gymnasts turn, spin and perform pirouettes around the horizontal bar."
20000949,parallel bars (artistic gymnastics),Gymnasts swing and turn with guile and grace around the parallel bars.
20000950,pommel horse (artistic gymnastics),Gymnasts perform an uninterrupted swing motion over a handled horse using balance and strength
20000951,rhythmic gymnastics,Mixture of dance and gymnastic moves
20000952,ribbon (rhythmic gymnastics),Gymnasts work through a pre-arranged routine while manipulating a spectacular length of ribbon.
20000953,rings (artistic gymnastics),Gymnasts perform feats of balance and strength from two suspended rings.
20000954,rope (rhythmic gymnastics),Jump and figure movements are performed while a rope is manipulated.
20000955,trampoline,Competitors perform complicated twists and turns while bouncing on the trampoline.
20000956,uneven bars (artistic gymnastics),Gymnasts run through an airborne routine swinging around and between the uneven bars.
20000957,vault (artistic gymnastics),Gymnasts propel themselves by jumping on a trampoline after running quickly down a 25m lane
20000958,handball (team),A ball game using the hands contested by two teams of seven trying to throw the ball into the opponents goal.
20000959,hornuss,Swiss team sport with 16 or 18 men per team. A rubber puck is hit towards the field of the adversary team which tries to hit the puck in the air with a wooden board thrown in the air
20000960,horse racing,Mounted horse races.
20000961,flat racing,A horse race over a flat course.
20000962,harness racing,Horses hitched to a jockeyed buggy race round a flat course. Can be performed at a trotting gait or a pacing gait.
20000963,steeple chase,"A mounted horse race over at least eight classic obstacles, four of which must be different, such as the water jump, spruce fences, mud walls etc."
20000964,hurling,A game played by two teams of fifteen each with a curved wooden stick called a hurley. The object is to score a goal by hitting the small ball between the opponents' goalposts either over the crossbar or under it into a net guarded by a goalkeeper.
20000965,ice hockey,Two teams of six heavily padded skaters try and outscore each other by hitting a puck into the opponents goal.
20000966,sledge hockey,Like ice hockey but instead of skates small sledges are used. Competitors move by pushing with the arms
20000967,inline skating,Competitive sports using inline skates
20000968,Jai Alai (Pelota),A fast ball play using either the bare hand or a wicker scoop in an arena of walls of different outlay and size
20000969,judo,A defensive martial art.
20000970,extra lightweight (judo),Up to 60kg for men and 48kg for women.
20000971,half-heavyweight (judo),Up to 100kg for men and 78kg for women.
20000972,half-lightweight (judo),Up to 73kg for men and 57kg for women.
20000973,half-middleweight (judo),Up to 81kg for men and 63kg for women
20000974,heavyweight (judo),Open but usually over 100kg for men and over 78kg for women
20000975,lightweight (judo),Up to 66kg for men and 52kg for women.
20000976,middleweight (judo),Up to 90kg for men and 70kg for women.
20000977,jukendo,Japanese traditional martial art using a model rifle made of wood. 'Juken' means a rifle or gun with blade (bayonet)
20000978,kabaddi,"The attacking side scores by touching, and the side to guard scores by capturing. The attacker continues calling it 'kabaddi'."
20000979,kayaking,Competition involving kayaks where the paddler sits with their legs facing forward using a double-bladed paddle
20000980,K1 (kayaking),An enclosed boat with the competitor sitting on a fixed seat for one person using a double bladed paddle
20000981,K2 (kayaking),An enclosed boat with the competitor sitting on a fixed seat for two people using double bladed paddles
20000982,K4 (kayaking),An enclosed boat with the competitor sitting on a fixed seat for four people using double bladed paddles
20000983,karate,"A martial art where chops, punches, kicks and throws are used to defeat an opponent."
20000984,kendo,"Japanese traditional martial art using a bamboo sword, sometimes called Japanese fencing"
20000985,kyudo,"Japanese traditional martial art using a bamboo bow and arrows, sometimes called Japanese archery"
20000986,lacrosse,Two teams of helmeted and padded players try and outscore each other using a netted stick and hard ball.
20000987,luge,Luge (French word for sled) is competed in singles or doubles. The competitor(s) lay on their back on an open sled and race down a course. The competitor(s) and the sled must be in contact when passing the finishing line. The competitor can steer the sled
20000988,marathon,"A road race where competitors run 42.195km, generally through city streets"
20000989,modern pentathlon,"The Modern Pentathlon comprises five events run over a single day in the following order: shooting, fencing, swimming, horse riding and running."
20000990,motorboat racing,Racing with boats with engines
20000991,motor car racing,Racing with cars
20000992,endurance race,Races for one or more drivers over a long and set distance or time
20000993,F3000,"Using less powerful motors than the Formula One, designated construction teams race over varied circuits the world over in speed races for individual and team honors over a season."
20000994,Formula One,Single cockpit car racing where 20 or so competitors race head to head over varied circuits around the world to win Grand Prix points in an individual and constructors championship
20000995,Indy Racing,North American top range professional league speed racing over circuits.
20000996,motor car rallycross,Stage races over dirt tracks
20000997,motor car rallying,"A season of endurance races over closed circuits including dirt tracks, roads and even snowy conditions featuring specials using adapted road cars with a driver and co-pilot."
20000998,motorcycling,"Races with 2, 3 or 4 wheels vehicles with a saddle and handlebars"
20000999,motorcycle endurance,A road race of consistency and endurance
20001000,enduro,"A race of speed, endurance and regularity over varied surfaces such as through forests and on dirt tracks"
20001001,grass-track,A race competed on turf
20001002,moto-ball,Team sport where drivers play a ball
20001003,moto-cross,Raced over dirt tracks featuring severe mounds
20001004,motoGP,Capacity class 1000ccm
20001005,motorcycle rallying,Races run over regular roads
20001006,side-cars,Of different engine sizes but attached to a side car featuring a passenger
20001007,speedway,Race involving up to six riders competing over a flat oval track. Speedway motorcycles use only one gear and have no brakes
20001008,motorcycling trial,A race of consistency and endurance over varied terrain
20001009,naginata,Japanese traditional martial art using a pole sword made of wood. 'Naginata' means a spear with a curved blade
20001010,netball,A woman's sport similar to basketball though without a board behind the basket
20001011,orienteering,An individual time-trial over a route marked out by beacons. The competitor has to search out and find in a specific order. The contestant makes his way with the help of a compass and map
20001012,ski orienteering,"An individual ski time-trial over a route marked out by beacons, that the competitor has to search out and find in a specific order. The contestant makes his way with the help of a compass and map"
20001013,parachuting,"Jumping from an airplane using a parachute, competitions are precision landings, voltige, individual and team"
20001014,polo,"With the aid of a mallet two teams of four horsemen try and knock a bamboo ball into the opponents goal over a pitch 250m long and 150m wide. The game is divided into 4, 6, or 8 time periods of 7min 30sec called chukkas."
20001015,pool,"A cue sport on a table with pockets, played with different numbers of balls"
20001016,power boating,Races between motor boats on rivers or lakes
20001017,rodeo,A discipline where wild horses or bulls must be mounted and mastered
20001018,bareback bronc,Rodeo discipline
20001019,barrel racing,Rodeo discipline
20001020,bull riding,Rodeo discipline
20001021,bulldogging,Rodeo discipline
20001022,calf roping,Rodeo discipline
20001023,goat roping,Rodeo discipline
20001024,saddle bronc,Rodeo discipline
20001025,roller hockey,"Team sport similar to ice hockey, executed on 4 wheel roller skates with sticks and a ball"
20001026,rowing,"Boat racing usually on flat calm waters with boats for 1, 2, 4 or 8 rowers"
20001027,coxed four,Four person boats with just one oar each and with a team mate to give directions
20001028,coxed pair,Two person boats with just one oar each and with a team mate to give directions
20001029,coxless four,Four person boats with just one oar each and without a team mate to give directions
20001030,coxless pair,Two person boats with just one oar each and without a team mate to give directions
20001031,double sculls,Two person boats with two oars each
20001032,coxed eight,Eight person boats with just one oar each and with a team mate to give directions
20001033,quadruple sculls,Four person boats with two oars each and without a team mate to give directions
20001034,single sculls,Single person boats with two oars
20001035,rugby league,A type of rugby where two teams of 13 compete on a pitch by running with and passing an oval ball. Points are scored by touching down the ball behind the goal line or kicking it between goal posts. Governed by Rugby League International Federation.
20001036,rugby union,A type of rugby where two teams of 15 compete on a pitch by running with and passing an oval ball. Points are scored by touching down the ball behind the goal line or kicking it between goal posts. Governed by the World Rugby organization.
20001037,rugby sevens,A type of rugby union where two teams of 7 compete on a pitch by running with and passing an oval ball. Points are scored by touching down the ball behind the goal line or kicking it between goal posts. Governed by the World Rugby organization.
20001038,sailing,Sailing boat racing over a route
20001039,multihull,Sailing boats with multiple hulls
20001040,dinghy,Single hulled vessel without a fixed keel
20001041,keelboat,Single hulled vessel with a fixed keel
20001042,sailing regatta,sailing regatta
20001043,ocean sailing,Sailing vessels across oceans as part of a competitive race.
20001044,round the world race,Sailing vessels around the world as a race
20001045,solo ocean sailing,"Sailing oceans as an individual, as part of a race."
20001046,non-stop solo race,Races either clockwise or anti clockwise around the globe without stopping at any ports between start and finish of race.
20001047,sepak takraw,"A game like volleyball where hands must not be used, using a ball made of rattan"
20001048,shinty,A ball game involving 2 teams with curved sticks called camans. The object is to score goals by hitting the small leather ball through the goals.
20001049,sport shooting,"Precision sport using a hand gun, rifle or shotgun"
20001050,pistol shooting,Shooting event using a pistol
20001051,rifle shooting,Shooting event using a rifle
20001052,running target shooting,Shooting event with an airgun and a target that moves sideways
20001053,shotgun shooting,Shooting event using a shotgun
20001054,clay pigeon shooting,"Shooting event which involves shooting at special flying targets, known as clay pigeons or clay targets"
20001055,skeleton,In skeleton the competitor lies on his/her stomach when racing down the course. The competitor must be on the sled when crossing the finishing line.
20001056,skiing,A winter sport using different types of skis
20001057,alpine skiing,Racing downhill on snow-covered slopes using alpine techniques and equipment. The slopes contain intermediate gates which are spaced according to the discipline involved.
20001058,freestyle skiing,"Skiing competitions which, in contrast to alpine skiing, incorporate acrobatic moves and jumps. Events include aerials, halfpipe, slopestyle, ski cross, moguls and big air."
20001059,grass skiing,Alpine skiing on roller skis and grass
20001060,Nordic skiing,"Practiced in relatively-flat, snowy countryside and based on power and endurance."
20001061,ski jumping,"Competitors descend a snow covered elevated ramp on skis and try to fly off it as far as possible, receiving marks for distance, style of flight and landing"
20001062,sky diving,Parachuting competitions with long distance falls without using a parachute
20001063,snooker,A cue sport with balls on a table to be potted in a specific order
20001064,snowboarding,Practiced with a single board (rather than two skis)
20001065,soccer,A form of football played by two teams competing on a pitch by kicking a spherical ball. Points are scored by kicking or heading the ball into a goal. Governed by the Fédération Internationale de Football Association
20001066,softball,"Similar to baseball but with a larger and softer ball, a thinner bat, shorter gaps between bases and less innings"
20001067,speed skating,Timed races competed by two skaters at a time on an oval ice track
20001068,squash,A racquet sport of strategy and endurance played by singles or doubles teams in a walled court with a small rubber ball
20001069,sumo wrestling,A combat sport of speed and rapidity with much ceremony where two contestants try to throw or slap a competitor out of a marked area. Generally practiced in Japan by large men.
20001070,surfing,Water sport where contestants catch and ride waves upright on a surfboard
20001071,swimming,A water sport where contestants swim as fast as possible in a given style and win races by being the first to touch home
20001072,backstroke,"Swimming style, on the back, legs move in flapping motion while arms propel the swimmer forward"
20001073,breaststroke,"Swimming style , on the front, effecting forward and outward push movements with the arms and backward and outward pushes with the legs"
20001074,butterfly swimming,"Swimming style , swum on the front with the shoulders remaining parallel to the water both arms moving in simultaneous windmill fashion, the legs remain together and are moved in a flapping motion. The most physical of all styles."
20001075,freestyle swimming,"Any swimming style may be employed, though front crawl is universally employed"
20001076,medley swimming,A combination of four different swimming styles in one race
20001077,marathon swimming,A long distance open water swimming
20001078,relay freestyle swimming,Team of swimmers swim a relay in the swimming style of their choice
20001079,relay medley swimming,Team relay race involving a combination of four different swimming styles
20001080,short course swimming,Races competed in a 25m length pool
20001081,synchronized free routine,"In the free program, music, movements and their order of execution are not restricted."
20001082,synchronized technical routine,"Contestants obtain points from 10 sitting judges by executing certain synchronized artistic shapes and movements in the water. In the technical program, competitors must execute a range of specific moves in a given order."
20001083,table tennis,"A racquet sport for two or four (in doubles), who compete at a table divided by a net using a small bat to play a lightweight ball"
20001084,Taekwon-Do,A martial art of Korean origin
20001085,tennis,"A sport where two players, four in doubles, equipped with a racket compete by hitting the ball over a net into the opponent's side of the court with the aim of putting it out of reach within the regulation lines, thus winning points."
20001086,ten pin bowling,A game in which a player scores points by trying to knock down ten 'pins' using a ball - if unsuccessful the player has a second attempt. A game consists of ten frames.
20001087,triathlon,"An endurance multi-sport where competitors first swim, then cycle and then run a road race. Distances vary according to the competition."
20001088,tug-of-war,Two teams pulling against each other on a rope
